ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,84-85°F,95336798909472406551591297153909909250917661827999901456024723403485832640865,0.004,215.88,0.01,189.96,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,86-87°F,86864010433676196924942919512297630701874946951599089713642437018009352705259,0.03,634.74,0.06,25,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,88-89°F,74000754359553267311770092310019486896990333386420637376281354521775553026705,0.19,43.27,0.24,8,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,90-91°F,64862392302252733707077127105531849265496006366104775571819575710082072703727,0.59,46.16,0.62,5,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,92-93°F,31967075040654085636755435770389948996297530416432264263304298117894113194912,0.12,5,0.13,70.45,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,94-95°F,54349999277123235048827510143074427047513945603652114806916549416963722241661,0.01,325.84,0.02,241.96,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,96°F or higher,105565638915954844470065542482225903132911713257335037309099006109485678124237,0.002,1444.86,0.008,385.91,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,77°F or below,88868244901199493120248242574990778476112951022805767330576780283723646665203,,,0.001,8511.5,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,78-79°F,56019400194657974640161584031427010109761442986648380159036685074047756327628,,,0.001,2237.11,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,80-81°F,69747653625158526764674649905699915781534986322236840181324602263515339817144,,,0.001,108.48,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+0,2026-09-03,highest-temperature-in-miami-on-september-3-2026,82-83°F,98215958379814834576880996362733599912324367096564488472117637907363750387679,,,0.003,104,2026-09-03T06:01:07.598934+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,79°F or below,48254117612865630903691674133201973921051994221675874205003274969277183683210,0.001,1133.94,0.008,30,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,80-81°F,96364556669410255307639838303480193129796251865244123244807857409945730318716,0.001,255.57,0.01,15,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,82-83°F,84916757406969715721967874490318153409585721068139199101845228055620723340305,,,0.02,22.06,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,84-85°F,25473164919887927273575170064427172931454526984157600331678322876248337224100,0.02,238.01,0.04,35,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,86-87°F,57418020503202337918398483682162735713554876792755880492613318821460305769491,0.09,5,0.13,72.2,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,88-89°F,43571656203442525298541455959006949801435413493281078869102862866517828775532,0.4,226.61,0.41,670.92,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,90-91°F,31097552163980364862907801303011830460818130648500091033942492151882230157077,0.36,124.5,0.38,5,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,92-93°F,84053818112192371017470027497796407199095697533063957467998876664465151840848,0.06,5,0.08,62.28,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,94-95°F,78475771563910016491114496265531581017625289229514855118727236482132137958426,0.01,461.32,0.04,119,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,96-97°F,72542602981633790932432838962870902979225089560931477615300045494783836303509,0.001,240,0.01,15.87,2026-09-03T06:01:09.833030+00:00
Miami,highest,J+1,2026-09-04,highest-temperature-in-miami-on-september-4-2026,98°F or higher,35787904065628623374529114899374540330983172180682853165872152147738616565767,0.001,240,0.01,15.87,2026-09-03T06:01:09.833030+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,73°F or below,9162417070378589249099351099710339503821781413638605295437340251631051414449,0.001,98.5,0.009,20.1,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,76-77°F,38709521550087674661408145149612524531021456492848010129904953683838274394282,0.44,40,0.51,36.12,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,82-83°F,94861535007338562612647357364800833866641411687600095518139095334245632704701,,,0.001,690,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,84-85°F,10681527195859747043968749660873732022681208123511490834235083079439337534405,,,0.001,870.1,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,86-87°F,44236612600610534492418358094410451284669611856270242333389321292332541979687,,,0.001,770,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,88-89°F,110407649540386699425042056139284499711239992006941788461014164547093008832108,,,0.001,887.1,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,90-91°F,101714859635286288539193946892458458445816152142941410700924627981292789975225,,,0.001,607.1,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,74-75°F,18600828447746196130052791735637837749585457672758090680840195533683304623514,0.03,33,0.06,8.77,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,78-79°F,4425203521371089011008463857228643687396973234374450147430877097949611393903,0.37,10.18,0.54,20,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,80-81°F,90434801441942952804969636191610833595511245417600278961516940882381663965116,,,0.001,1260.5,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+0,2026-09-03,lowest-temperature-in-miami-on-september-3-2026,92°F or higher,95442192439050045532551154437746140094934576635497164863498163782961344691943,,,0.001,872.1,2026-09-03T06:01:12.081037+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,73°F or below,35162876698194936826538101910662108073405306049086597866336533674859848446762,,,0.08,30.97,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,74-75°F,94717489912356893576849105662301831138550702515573171008018202715421977404650,,,0.07,16,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,76-77°F,53760115209636889276580109862895990205003228740154046422637311734315389032175,0.03,38.44,0.08,20,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,78-79°F,112378560443042177045638100279005548781658646522923383673832596597662126669613,0.26,7,0.3,237.6,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,80-81°F,3143182491343509174963105387645662409698323772568736766683468659800022113660,0.45,108.53,0.48,85,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,82-83°F,114116577706201936868763963764033441449333704441868881774184930767739225841510,0.22,288.27,0.25,58,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,84-85°F,77633502958259773749188196897696658424140672950069740838705066478108620887384,,,0.07,18,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,86-87°F,63104383860855918100139347283590673486335862572042803433480570509532248474733,,,0.07,20,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,88-89°F,32273798247642199980324883160680293901170682125609400134544467762320869138705,0.001,255,0.019,20,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,90-91°F,15310317155236433498192452875116726701397112169157341577839786342982265551726,0.001,255,0.018,56,2026-09-03T06:01:14.332797+00:00
Miami,lowest,J+1,2026-09-04,lowest-temperature-in-miami-on-september-4-2026,92°F or higher,73157387424201705770666006522263905338533611589555664424514129443663612544242,0.001,255,0.018,56,2026-09-03T06:01:14.332797+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,85°F or below,85334651838537884619058656977708979774089187598117720073518128612345632808531,,,0.001,2031.12,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,86-87°F,18156768838312122200756138089583522535777041692808572930806286540441524715783,,,0.001,2097.09,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,88-89°F,107153367572118986631161788242022473764046695369397527730227697553900604920327,,,0.002,2098.12,2026-09-03T06:01:16.565967+00:00
Austin,highest,J+0,2026-09-03,highest-temperature-in-austin-on-september-3-2026,90-91°F,9015035265736909403984518867621160576333009647191329668811089066970825095650,0.001,111.02,0.01,176.07,2026-09-03T06:01:16.565967+00:00
